model,status,epochs,val_acc,val_mcc,test_acc,test_mcc,time
RANDOM FOREST,DONE,1,0.5397,0.0730,0.4989,0.0015,0.1s
GRADIENT BOOST,DONE,1,0.5268,0.0752,0.4970,-0.0074,0.8s
MLP CLASSIFIER,DONE,1,0.5092,0.0351,0.4841,-0.0328,0.2s
LOGISTIC REGRESSION,DONE,1,0.4716,-0.0225,0.4895,-0.0206,0.0s
SGD LOG,DONE,1,0.5225,-0.0128,0.4911,-0.0168,0.3s
SGD HINGE,DONE,1,0.5249,-0.0218,0.4935,-0.0067,0.2s
PASSIVE AGGRESSIVE,DONE,1,0.4916,0.0375,0.5274,0.0559,0.0s
RIDGE,DONE,1,0.5722,0.1226,0.4882,0.0077,0.0s
PERCEPTRON,DONE,1,0.5018,0.0507,0.5261,0.0542,0.0s
LDA,DONE,1,0.4810,-0.0090,0.5094,0.0175,0.1s
GAUSSIAN NB,DONE,1,0.5307,0.0936,0.5242,0.0544,0.0s
NEAREST CENTROID,DONE,1,0.5049,0.0667,0.5237,0.0498,0.0s
DECISION TREE,DONE,1,0.4767,-0.0032,0.5151,0.0240,0.3s
EXTRA TREES,DONE,1,0.5084,0.0849,0.5000,-0.0053,0.0s
ADABOOST,DONE,1,0.5127,0.0122,0.5167,0.0447,0.2s
CLASSICAL ALSTM,DONE,150,0.0000,0.0000,0.0000,0.0000,0.0s
